genreId,labelDe
1,Höfischer Roman
10,Klassische Epen
101,Lehrdichtung
12,Frühhöfische Epik
121,Religiöse Prosa
122,Naturwissenschaftliche Schriften
123,Religiöse Kleinepik
13,Schwank und Satire
14,Aventiurenroman
141,Rechtsurkunden
16,Artusdichtung
161,Kochbücher
162,Juridische Texte
163,Predigten
183,Medizinische Texte
2,Heldenepik
223,Spruchdichtung
224,Kampftechnik und Waffenhandwerk
244,Minne- und Ehelehre
264,Flugschriften
284,Alchemistische Schriften
3,"Kleinere Erzählungen, Fabeln und Lehrgedichte"
304,Spielmannsepik
4,Religiöse Versdichtung
41,Historiografische Texte
5,Lyrik
61,Versdialog
62,Autobiogr. Roman
63,Verserzählung
7,Karlsepik
81,Lyrik (Minnesangs Frühling)
